links_bchighwaycam,links_imageDisplay,links_imageThumbnail,links_replayTheDay,id,highway_number,highway_locationDescription,camName,caption,credit,orientation,latitude,longitude
https://images.drivebc.ca/bchighwaycam/pub/html/www/244.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/244.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/244.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=244,244,101,Sunshine Coast,Earls Cove,"Highway 101 at Egmont Road, south of Earls Cove on the Sunshine Coast, looking South.",'BC HighwayCam provided by Capilano Highway Services in co-operation with the Ministry of Transportation and Transit.',S,49.745664 ,-124.001841 
https://images.drivebc.ca/bchighwaycam/pub/html/www/245.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/245.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/245.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=245,245,101,Sunshine Coast,Powell River,"Highway 101 near Loubert Road in the qathet Regional District, looking south.",,S,49.775088 ,-124.300637 
https://images.drivebc.ca/bchighwaycam/pub/html/www/246.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/246.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/246.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=246,246,3,,Sunday Summit - N,"Highway 3 about 32 km south of Princeton, looking north.",'This camera is located in a remote area and relies on solar power. As a result transmission delays may occur. Thank you for your understanding.',N,49.239380 ,-120.562309 
https://images.drivebc.ca/bchighwaycam/pub/html/www/247.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/247.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/247.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=247,247,3,,Eholt Summit,"Highway 3 about 16 km northeast of Greenwood at Wilgress Rest Area near Eholt Summit, looking westbound.",'This camera is located in a remote area and relies on satellite for communications. As a result transmission delays may occur. Thank you for your understanding.',W,49.145152 ,-118.534594 
https://images.drivebc.ca/bchighwaycam/pub/html/www/248.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/248.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/248.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=248,248,23,,50-Mile,"Highway 23 about 90 km north of Revelstoke, looking north.",,N,51.599040 ,-118.601366 
https://images.drivebc.ca/bchighwaycam/pub/html/www/249.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/249.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/249.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=249,249,33,,McCulloch - N,"Highway 33 about 41 km southeast of Kelowna, just south of Big White Road, looking north.",'This camera is located in a remote area and relies on satellite for communications. As a result transmission delays may occur. Thank you for your understanding.',N,49.757721 ,-119.126135 
https://images.drivebc.ca/bchighwaycam/pub/html/www/250.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/250.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/250.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=250,250,6,,Monashee Pass,"Highway 6 about 83 km east of Vernon, looking westbound.",'This camera is located in a remote area and relies on solar power and satellite communications. As a result transmission delays may occur. Thank you for your understanding.',W,50.041667 ,-118.549167 
https://images.drivebc.ca/bchighwaycam/pub/html/www/251.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/251.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/251.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=251,251,97C,,Pennask Summit - W,"Highway 97C (Okanagan Connector) about 74 km west of Kelowna, looking west.",'This camera is located in a remote area and relies on solar power. As a result transmission delays may occur. Thank you for your understanding.',W,49.909300 ,-120.024167 
https://images.drivebc.ca/bchighwaycam/pub/html/www/252.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/252.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/252.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=252,252,97,Southern Interior Region,Hixon,"Highway 97 at Swanson Road near Hixon, looking north.",,N,53.428277 ,-122.594469 
https://images.drivebc.ca/bchighwaycam/pub/html/www/253.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/253.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/253.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=253,253,97,Northern Region,John Hart Highway,"Highway 97 (John Hart Highway) at Mason Road/237 Road, looking east.",,E,55.757894 ,-120.483821 
